Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
181177,CAPTOPRIL IF 25MG TAB,1,2197.0,04/12/20 08:48,"866 West St, San Francisco, CA 94016"
181178,USB-C Charging Cable,1,11.95,04/26/20 20:00,"15 7th St, Los Angeles, CA 90001"
181179,MERIT SACH 30S,1,45615.0,04/10/20 20:04,"814 Forest St, Dallas, TX 75001"
181180,CEFIXIME DEXA 100MG CAP 50S,1,149.99,04/02/20 18:14,"837 Pine St, Austin, TX 73301"
181181,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,04/06/20 16:47,"827 7th St, Seattle, WA 98101"
181182,Ranitidine 150 mg 10 Tablet,1,1800.0,04/14/20 13:56,"398 14th St, Los Angeles, CA 90001"
181182,CERETON CAP,1,6744.0,04/14/20 13:56,"398 14th St, Los Angeles, CA 90001"
181183,IBUPROFEN 400MG TAB,1,594.0,04/27/20 15:06,"345 Adams St, Boston, MA 02215"
181184,CAPTOPRIL IF 25MG TAB,1,2197.0,04/19/20 13:30,"653 Church St, Dallas, TX 75001"
181185,TENACE 10MG,1,5971.0,04/06/20 17:24,"688 Lincoln St, San Francisco, CA 94016"
181186,PONSTAN 500MG TAB,1,3356.0,04/16/20 18:03,"828 North St, San Francisco, CA 94016"
181187,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,04/08/20 10:54,"436 Johnson St, Austin, TX 73301"
181188,IBUPROFEN 400MG TAB,1,594.0,04/12/20 17:31,"668 Cherry St, Seattle, WA 98101"
181189,USB-C Charging Cable,1,11.95,04/17/20 18:20,"79 Park St, Boston, MA 02215"
181190,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,04/15/20 15:42,"139 Cedar St, San Francisco, CA 94016"
181191,ANTANGIN JRG ORIGINAL SACH,1,38150.0,04/08/20 16:47,"902 11th St, Atlanta, GA 30301"
181192,USB-C Charging Cable,1,11.95,04/17/20 13:57,"437 Jefferson St, Los Angeles, CA 90001"
181193,Ranitidine 150 mg 10 Tablet,1,1800.0,04/02/20 10:33,"310 Highland St, Portland, OR 97035"
181194,Paracetamol 500 mg 10 Kaplet,1,1500.0,04/17/20 12:27,"472 14th St, New York City, NY 10001"
181195,USB-C Charging Cable,2,11.95,04/16/20 18:41,"492 Jefferson St, Los Angeles, CA 90001"
181196,USB-C Charging Cable,1,11.95,04/29/20 20:12,"658 Spruce St, San Francisco, CA 94016"
181197,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,04/09/20 11:46,"327 Ridge St, San Francisco, CA 94016"
181198,Ranitidine 150 mg 10 Tablet,1,1800.0,04/29/20 08:52,"97 4th St, New York City, NY 10001"
181199,CERETON CAP,1,6744.0,04/11/20 15:31,"801 Johnson St, Portland, OR 97035"
181200,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,04/21/20 16:56,"249 5th St, New York City, NY 10001"
181201,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,04/13/20 14:20,"55 Lake St, San Francisco, CA 94016"
181202,Paracetamol 500 mg 10 Kaplet,1,1500.0,04/17/20 12:04,"574 10th St, New York City, NY 10001"
181202,CAPTOPRIL IF 25MG TAB,1,2197.0,04/17/20 12:04,"574 10th St, New York City, NY 10001"
181203,IBUPROFEN 400MG TAB,1,594.0,04/02/20 18:56,"641 Elm St, Boston, MA 02215"
181204,TENACE 10MG,1,5971.0,04/01/20 20:36,"799 Washington St, San Francisco, CA 94016"
181205,ORALIT KIMIA FARMA 200 MG SACHET,1,1000.0,04/13/20 13:28,"30 1st St, Los Angeles, CA 90001"
181206,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,04/21/20 10:44,"559 Lake St, Boston, MA 02215"
181207,PROPANOLOL DEXA 10MG TAB,1,117.0,04/18/20 20:58,"845 Hickory St, Dallas, TX 75001"
181208,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,04/09/20 20:48,"201 10th St, Los Angeles, CA 90001"
181209,CERETON CAP,1,6744.0,04/29/20 19:17,"667 Forest St, Atlanta, GA 30301"
181210,USB-C Charging Cable,1,11.95,04/22/20 20:12,"791 Dogwood St, Los Angeles, CA 90001"
