Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
234019,USB-C Charging Cable,3,11.95,08/13/20 09:32,"845 8th St, Seattle, WA 98101"
234020,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,08/24/20 12:35,"608 Lake St, Boston, MA 02215"
234021,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,08/01/20 20:48,"39 Meadow St, Boston, MA 02215"
234022,CAPTOPRIL IF 25MG TAB,1,2197.0,08/08/20 15:02,"27 2nd St, Dallas, TX 75001"
234023,USB-C Charging Cable,2,11.95,08/30/20 11:55,"533 2nd St, San Francisco, CA 94016"
234024,CAPTOPRIL IF 25MG TAB,1,2197.0,08/17/20 13:45,"313 5th St, San Francisco, CA 94016"
234025,TRENTAL 400MG TAB,1,17055.0,08/18/20 00:48,"277 11th St, Los Angeles, CA 90001"
234026,TRENTAL 400MG TAB,1,17055.0,08/28/20 12:34,"435 11th St, San Francisco, CA 94016"
234027,CERETON CAP,1,6744.0,08/23/20 10:06,"666 1st St, Dallas, TX 75001"
234028,CEFADROXIL BERNO 500MG CAP,1,1707.0,08/29/20 01:07,"618 4th St, Boston, MA 02215"
234029,ASAM MEFENAMAT BERNO 500MG,1,423.0,08/30/20 15:31,"873 Walnut St, Atlanta, GA 30301"
234030,SIMVASTATIN DEXA 10MG TAB,1,1151.0,08/30/20 08:15,"601 12th St, San Francisco, CA 94016"
234031,CAPTOPRIL IF 25MG TAB,1,2197.0,08/28/20 21:24,"846 5th St, Los Angeles, CA 90001"
234032,TRENTAL 400MG TAB,1,17055.0,08/16/20 18:21,"945 11th St, San Francisco, CA 94016"
234033,USB-C Charging Cable,1,11.95,08/20/20 10:59,"789 Johnson St, Atlanta, GA 30301"
234034,ZINE 10MG FC TAB 30S,1,5710.0,08/12/20 17:46,"53 Center St, Dallas, TX 75001"
234035,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,08/28/20 19:23,"673 Elm St, Boston, MA 02215"
234036,USB-C Charging Cable,1,11.95,08/10/20 10:54,"813 Adams St, New York City, NY 10001"
234037,DIABEMED CAP 24S,1,39972.0,08/13/20 13:44,"681 5th St, New York City, NY 10001"
234038,USB-C Charging Cable,2,11.95,08/07/20 15:50,"983 River St, Boston, MA 02215"
234039,USB-C Charging Cable,1,11.95,08/15/20 06:47,"116 9th St, New York City, NY 10001"
234040,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,08/22/20 10:10,"406 8th St, San Francisco, CA 94016"
234041,Ranitidine 150 mg 10 Tablet,1,1800.0,08/20/20 17:42,"931 River St, San Francisco, CA 94016"
234042,Ranitidine 150 mg 10 Tablet,1,1800.0,08/08/20 13:21,"187 River St, Austin, TX 73301"
234043,CEFIXIME DEXA 100MG CAP 50S,1,149.99,08/11/20 19:46,"336 Adams St, Boston, MA 02215"
234044,USB-C Charging Cable,1,11.95,08/20/20 05:54,"659 9th St, Dallas, TX 75001"
234045,CEFIXIME DEXA 100MG CAP 50S,1,149.99,08/06/20 14:10,"431 4th St, Atlanta, GA 30301"
234046,USB-C Charging Cable,1,11.95,08/12/20 07:51,"734 11th St, Atlanta, GA 30301"
234047,USB-C Charging Cable,1,11.95,08/27/20 23:04,"922 7th St, San Francisco, CA 94016"
234048,LISINOPRIL 10MG TAB NOVELL,1,780.0,08/02/20 20:38,"271 Cedar St, Los Angeles, CA 90001"
234049,IBUPROFEN 400MG TAB,1,594.0,08/19/20 16:43,"426 6th St, Seattle, WA 98101"
234050,USB-C Charging Cable,1,11.95,08/30/20 20:06,"302 Maple St, Los Angeles, CA 90001"
234051,USB-C Charging Cable,1,11.95,08/16/20 19:06,"640 North St, Los Angeles, CA 90001"
234052,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,08/18/20 11:03,"35 Church St, San Francisco, CA 94016"
234053,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,08/28/20 14:33,"769 Lakeview St, New York City, NY 10001"
234054,CERETON CAP,1,6744.0,08/07/20 11:08,"298 7th St, San Francisco, CA 94016"
234055,Ranitidine 150 mg 10 Tablet,1,1800.0,08/22/20 22:30,"465 Forest St, Boston, MA 02215"
234056,CEFADROXIL BERNO 500MG CAP,1,1707.0,08/26/20 15:37,"853 Chestnut St, New York City, NY 10001"
234057,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,08/01/20 22:28,"435 Jackson St, Dallas, TX 75001"
234058,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,08/31/20 11:59,"457 Chestnut St, Los Angeles, CA 90001"
234059,PROPANOLOL DEXA 10MG TAB,1,117.0,08/02/20 09:23,"487 7th St, San Francisco, CA 94016"
234060,USB-C Charging Cable,1,11.95,08/24/20 13:51,"642 Forest St, Los Angeles, CA 90001"
234061,VEGETA HERBAL ANGGUR SACH,1,17158.0,08/28/20 21:39,"58 10th St, Los Angeles, CA 90001"
234062,PONSTAN 500MG TAB,1,3356.0,08/30/20 13:51,"704 Center St, Portland, ME 04101"
234063,CEFIXIME DEXA 100MG CAP 50S,1,149.99,08/12/20 20:22,"94 River St, Seattle, WA 98101"
234064,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,08/02/20 18:43,"462 13th St, Seattle, WA 98101"
234065,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,08/08/20 23:11,"405 North St, Los Angeles, CA 90001"
234066,THERMOLYTE MAXIMUS 30S,1,54384.0,08/04/20 20:01,"475 10th St, New York City, NY 10001"
234067,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,08/25/20 15:21,"870 Church St, Boston, MA 02215"
234068,USB-C Charging Cable,1,11.95,08/26/20 18:04,"416 Adams St, Dallas, TX 75001"
234069,USB-C Charging Cable,1,11.95,08/15/20 23:46,"338 Cherry St, San Francisco, CA 94016"
234070,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,08/01/20 08:58,"178 Spruce St, Los Angeles, CA 90001"
234071,USB-C Charging Cable,1,11.95,08/25/20 20:13,"218 14th St, San Francisco, CA 94016"
234072,TRENTAL 400MG TAB,1,17055.0,08/30/20 10:08,"210 Willow St, New York City, NY 10001"
234073,CEFIXIME DEXA 100MG CAP 50S,1,149.99,08/12/20 18:07,"461 Chestnut St, Austin, TX 73301"
234074,DIABEMED CAP 24S,1,39972.0,08/22/20 14:35,"971 Wilson St, Portland, OR 97035"
234075,USB-C Charging Cable,1,11.95,08/03/20 15:53,"857 Washington St, Portland, OR 97035"
234076,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,08/10/20 09:36,"208 6th St, Los Angeles, CA 90001"
234077,PONSTAN 500MG TAB,1,3356.0,08/19/20 10:21,"461 Hill St, New York City, NY 10001"
234078,Ranitidine 150 mg 10 Tablet,1,1800.0,08/07/20 12:13,"821 9th St, San Francisco, CA 94016"
234079,ZINE 10MG FC TAB 30S,1,5710.0,08/05/20 14:46,"997 12th St, San Francisco, CA 94016"
234080,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,08/11/20 13:06,"35 Park St, Los Angeles, CA 90001"
234081,Paracetamol 500 mg 10 Kaplet,1,1500.0,08/01/20 08:01,"675 Cedar St, San Francisco, CA 94016"
234082,MERIT SACH 30S,1,45615.0,08/21/20 13:15,"447 7th St, San Francisco, CA 94016"
234083,USB-C Charging Cable,1,11.95,08/04/20 15:25,"222 Elm St, New York City, NY 10001"
234084,TENACE 10MG,1,5971.0,08/06/20 17:54,"634 Walnut St, Los Angeles, CA 90001"
234085,USB-C Charging Cable,1,11.95,08/10/20 19:49,"145 Chestnut St, New York City, NY 10001"
234086,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,08/01/20 19:51,"657 Wilson St, New York City, NY 10001"
234087,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,08/18/20 09:04,"409 Pine St, Boston, MA 02215"
234088,CEFADROXIL BERNO 500MG CAP,1,1707.0,08/12/20 20:45,"12 North St, Seattle, WA 98101"
234089,Tremenza Sirup 60 ml,1,22000.0,08/01/20 11:30,"702 12th St, San Francisco, CA 94016"
234090,USB-C Charging Cable,1,11.95,08/12/20 12:51,"8 5th St, Boston, MA 02215"
234091,SIMVASTATIN DEXA 10MG TAB,1,1151.0,08/25/20 19:59,"385 Wilson St, Atlanta, GA 30301"
234092,THERMOLYTE MAXIMUS 30S,1,54384.0,08/17/20 11:31,"213 Spruce St, Portland, OR 97035"
234093,PROPANOLOL DEXA 10MG TAB,1,117.0,08/10/20 22:26,"428 Dogwood St, New York City, NY 10001"
234094,SIMVASTATIN DEXA 10MG TAB,1,1151.0,08/14/20 07:37,"587 Elm St, New York City, NY 10001"
234095,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,08/19/20 23:00,"10 Pine St, Los Angeles, CA 90001"
234096,USB-C Charging Cable,1,11.95,08/13/20 17:26,"979 Hill St, San Francisco, CA 94016"
234097,SIMVASTATIN DEXA 10MG TAB,1,1151.0,08/03/20 19:41,"40 Park St, Dallas, TX 75001"
234097,PONSTAN 500MG TAB,1,3356.0,08/03/20 19:41,"40 Park St, Dallas, TX 75001"
234098,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,08/23/20 13:11,"182 Walnut St, New York City, NY 10001"
234099,USB-C Charging Cable,1,11.95,08/29/20 08:31,"427 Lakeview St, Seattle, WA 98101"
234100,LISINOPRIL 10MG TAB NOVELL,1,780.0,08/03/20 17:08,"428 Washington St, San Francisco, CA 94016"
234101,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,08/31/20 11:52,"751 Chestnut St, San Francisco, CA 94016"
234102,THERMOLYTE MAXIMUS 30S,1,54384.0,08/28/20 09:54,"975 4th St, New York City, NY 10001"
234102,SIMVASTATIN DEXA 10MG TAB,1,1151.0,08/28/20 09:54,"975 4th St, New York City, NY 10001"
234103,USB-C Charging Cable,1,11.95,08/24/20 22:31,"84 Walnut St, New York City, NY 10001"
234104,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,08/04/20 11:09,"363 Ridge St, Seattle, WA 98101"
234105,USB-C Charging Cable,2,11.95,08/16/20 10:49,"46 Adams St, New York City, NY 10001"
234106,CEFIXIME DEXA 100MG CAP 50S,1,149.99,08/23/20 17:25,"526 Jackson St, San Francisco, CA 94016"
234107,SIMVASTATIN DEXA 10MG TAB,1,1151.0,08/11/20 10:43,"809 Sunset St, Dallas, TX 75001"
234108,ASAM MEFENAMAT BERNO 500MG,1,423.0,08/19/20 12:53,"709 Main St, Los Angeles, CA 90001"
234109,TENACE 10MG,1,5971.0,08/28/20 11:54,"126 Lincoln St, Boston, MA 02215"
234110,USB-C Charging Cable,1,11.95,08/30/20 13:03,"252 Johnson St, Boston, MA 02215"
234111,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,08/17/20 02:12,"91 Jefferson St, San Francisco, CA 94016"
234112,PONSTAN 500MG TAB,1,3356.0,08/18/20 11:08,"101 Johnson St, San Francisco, CA 94016"
234113,USB-C Charging Cable,1,11.95,08/05/20 13:45,"394 Pine St, Atlanta, GA 30301"
234114,CAPTOPRIL IF 25MG TAB,1,2197.0,08/29/20 11:50,"335 1st St, Los Angeles, CA 90001"
234115,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,08/14/20 08:51,"186 West St, Los Angeles, CA 90001"
234116,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,08/11/20 22:24,"271 6th St, Seattle, WA 98101"
234117,USB-C Charging Cable,1,11.95,08/05/20 12:02,"75 Jefferson St, Austin, TX 73301"
234118,VEGETA HERBAL ANGGUR SACH,1,17158.0,08/25/20 13:14,"382 Ridge St, Dallas, TX 75001"
234119,Tremenza Sirup 60 ml,1,22000.0,08/11/20 10:50,"291 Church St, Austin, TX 73301"
234120,TRENTAL 400MG TAB,1,17055.0,08/24/20 11:09,"36 Cherry St, Atlanta, GA 30301"
234121,TENACE 10MG,1,5971.0,08/21/20 18:54,"149 8th St, San Francisco, CA 94016"
234122,Ranitidine 150 mg 10 Tablet,1,1800.0,08/06/20 16:03,"574 Lincoln St, San Francisco, CA 94016"
234123,ZINE 10MG FC TAB 30S,1,5710.0,08/19/20 18:07,"276 13th St, Dallas, TX 75001"
234124,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,08/24/20 11:37,"994 6th St, Los Angeles, CA 90001"
234125,DIABEMED CAP 24S,1,39972.0,08/09/20 10:34,"668 Cedar St, Los Angeles, CA 90001"
234126,TRENTAL 400MG TAB,1,17055.0,08/27/20 16:52,"172 Walnut St, San Francisco, CA 94016"
234127,USB-C Charging Cable,1,11.95,08/05/20 19:07,"426 Dogwood St, Austin, TX 73301"
234128,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,08/17/20 21:25,"210 Chestnut St, Atlanta, GA 30301"
234129,USB-C Charging Cable,1,11.95,08/23/20 18:47,"805 Main St, New York City, NY 10001"
234130,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,08/09/20 17:02,"554 West St, Boston, MA 02215"
234131,PONSTAN 500MG TAB,1,3356.0,08/09/20 16:50,"350 Lake St, Dallas, TX 75001"
234132,USB-C Charging Cable,1,11.95,08/10/20 17:40,"421 14th St, New York City, NY 10001"
234133,IBUPROFEN 400MG TAB,1,594.0,08/09/20 09:51,"741 Meadow St, New York City, NY 10001"
234134,USB-C Charging Cable,1,11.95,08/22/20 12:22,"630 Lakeview St, Seattle, WA 98101"
234135,ZINE 10MG FC TAB 30S,1,5710.0,08/01/20 12:43,"751 Cherry St, Los Angeles, CA 90001"
234136,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,08/19/20 12:12,"630 Washington St, Los Angeles, CA 90001"
234137,MERIT SACH 30S,1,45615.0,08/20/20 20:16,"696 9th St, Dallas, TX 75001"
234138,Paracetamol 500 mg 10 Kaplet,1,1500.0,08/22/20 19:47,"183 Hickory St, Portland, OR 97035"
234139,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,08/26/20 20:52,"119 Sunset St, Dallas, TX 75001"
234140,Tremenza Sirup 60 ml,1,22000.0,08/01/20 18:49,"738 Walnut St, San Francisco, CA 94016"
234141,Tremenza Sirup 60 ml,1,22000.0,08/25/20 16:19,"559 Main St, Los Angeles, CA 90001"
234142,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,08/10/20 08:22,"608 Dogwood St, San Francisco, CA 94016"
234143,IBUPROFEN 400MG TAB,1,594.0,08/27/20 08:08,"858 Meadow St, San Francisco, CA 94016"
234144,USB-C Charging Cable,2,11.95,08/13/20 22:32,"652 Willow St, Seattle, WA 98101"
234145,TRENTAL 400MG TAB,1,17055.0,08/18/20 20:31,"529 South St, San Francisco, CA 94016"
234146,ZINE 10MG FC TAB 30S,1,5710.0,08/20/20 13:34,"670 North St, New York City, NY 10001"
234147,Tremenza Sirup 60 ml,1,22000.0,08/30/20 16:55,"106 River St, San Francisco, CA 94016"
234148,PROPANOLOL DEXA 10MG TAB,1,117.0,08/31/20 22:54,"314 1st St, Dallas, TX 75001"
234149,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,08/13/20 00:53,"691 Forest St, Los Angeles, CA 90001"
234150,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,08/04/20 19:51,"726 Wilson St, Dallas, TX 75001"
234151,USB-C Charging Cable,1,11.95,08/14/20 18:59,"683 West St, New York City, NY 10001"
234152,CAPTOPRIL IF 25MG TAB,1,2197.0,08/04/20 17:41,"705 River St, Boston, MA 02215"
234153,THERMOLYTE MAXIMUS 30S,1,54384.0,08/25/20 18:58,"219 Sunset St, Boston, MA 02215"
234154,Tremenza Sirup 60 ml,1,22000.0,08/25/20 08:30,"459 10th St, Dallas, TX 75001"
234155,Metformin 500 mg 10 Tablet,1,2000.0,08/17/20 13:42,"762 13th St, San Francisco, CA 94016"
234156,SIMVASTATIN DEXA 10MG TAB,1,1151.0,08/18/20 08:42,"94 Wilson St, San Francisco, CA 94016"
234157,ASAM MEFENAMAT BERNO 500MG,1,423.0,08/21/20 12:29,"21 8th St, New York City, NY 10001"
234158,LISINOPRIL 10MG TAB NOVELL,1,780.0,08/28/20 13:51,"929 Lake St, Boston, MA 02215"
234159,ORALIT KIMIA FARMA 200 MG SACHET,1,1000.0,08/30/20 19:06,"988 13th St, Austin, TX 73301"
234160,TRENTAL 400MG TAB,1,17055.0,08/02/20 08:39,"980 Cedar St, Austin, TX 73301"
