Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
298885,VEGETA HERBAL ANGGUR SACH,1,17158.0,12/17/20 00:36,"556 Main St, San Francisco, CA 94016"
298886,LISINOPRIL 10MG TAB NOVELL,1,780.0,12/11/20 20:04,"203 11th St, Boston, MA 02215"
298887,USB-C Charging Cable,1,11.95,12/26/20 11:42,"933 Johnson St, San Francisco, CA 94016"
298888,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,12/14/20 19:24,"214 Church St, Dallas, TX 75001"
298889,ASAM MEFENAMAT BERNO 500MG,1,423.0,12/06/20 19:43,"394 5th St, San Francisco, CA 94016"
298890,USB-C Charging Cable,1,11.95,12/19/20 10:43,"96 Sunset St, Los Angeles, CA 90001"
298891,ASAM MEFENAMAT BERNO 500MG,1,423.0,12/27/20 16:10,"667 7th St, Los Angeles, CA 90001"
298892,CERETON CAP,1,6744.0,12/31/20 20:28,"131 Jackson St, Portland, OR 97035"
298893,SIMVASTATIN DEXA 10MG TAB,1,1151.0,12/15/20 20:53,"728 13th St, Boston, MA 02215"
298894,IBUPROFEN 400MG TAB,1,594.0,12/09/20 10:05,"126 Johnson St, San Francisco, CA 94016"
298895,USB-C Charging Cable,1,11.95,12/27/20 09:02,"154 Adams St, Dallas, TX 75001"
298896,SIMVASTATIN DEXA 10MG TAB,1,1151.0,12/06/20 08:59,"994 Pine St, Los Angeles, CA 90001"
298897,CERETON CAP,1,6744.0,12/01/20 11:10,"334 Park St, Dallas, TX 75001"
298898,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,12/22/20 16:48,"394 South St, San Francisco, CA 94016"
298899,CERETON CAP,1,6744.0,12/10/20 11:08,"687 4th St, New York City, NY 10001"
298900,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,12/02/20 22:02,"918 4th St, New York City, NY 10001"
298901,MERIT SACH 30S,1,45615.0,12/02/20 12:10,"856 South St, New York City, NY 10001"
298902,IBUPROFEN 400MG TAB,1,594.0,12/10/20 20:48,"176 Highland St, Los Angeles, CA 90001"
298903,Tremenza Sirup 60 ml,1,22000.0,12/17/20 13:07,"992 11th St, Boston, MA 02215"
298904,Tremenza Sirup 60 ml,1,22000.0,12/05/20 18:19,"727 Lincoln St, San Francisco, CA 94016"
298905,SIMVASTATIN DEXA 10MG TAB,1,1151.0,12/16/20 17:13,"139 12th St, San Francisco, CA 94016"
298906,USB-C Charging Cable,1,11.95,12/20/20 09:57,"171 Center St, New York City, NY 10001"
298907,CERETON CAP,1,6744.0,12/08/20 01:40,"399 11th St, Austin, TX 73301"
298908,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,12/15/20 22:08,"622 Hickory St, New York City, NY 10001"
298909,Ranitidine 150 mg 10 Tablet,1,1800.0,12/10/20 13:03,"908 Wilson St, San Francisco, CA 94016"
298910,SIMVASTATIN DEXA 10MG TAB,1,1151.0,12/08/20 15:57,"292 Main St, New York City, NY 10001"
298911,ASAM MEFENAMAT BERNO 500MG,1,423.0,12/25/20 19:42,"488 Meadow St, Atlanta, GA 30301"
298912,CERETON CAP,1,6744.0,12/31/20 19:53,"211 Lakeview St, Boston, MA 02215"
298913,IBUPROFEN 400MG TAB,1,594.0,12/15/20 15:02,"109 Meadow St, San Francisco, CA 94016"
298914,USB-C Charging Cable,1,11.95,12/13/20 19:48,"963 12th St, Austin, TX 73301"
298915,CAPTOPRIL IF 25MG TAB,1,2197.0,12/17/20 10:48,"549 Lincoln St, New York City, NY 10001"
298916,Ranitidine 150 mg 10 Tablet,1,1800.0,12/13/20 07:08,"193 Cedar St, Atlanta, GA 30301"
298917,USB-C Charging Cable,1,11.95,12/16/20 20:26,"778 Ridge St, Atlanta, GA 30301"
298918,CEFIXIME DEXA 100MG CAP 50S,1,149.99,12/30/20 11:40,"236 Hill St, New York City, NY 10001"
298919,CEFIXIME DEXA 100MG CAP 50S,1,149.99,12/15/20 00:26,"263 12th St, Boston, MA 02215"
298920,USB-C Charging Cable,1,11.95,12/26/20 21:14,"677 Main St, San Francisco, CA 94016"
298921,ASAM MEFENAMAT BERNO 500MG,1,423.0,12/04/20 15:49,"613 Walnut St, San Francisco, CA 94016"
298922,PROPANOLOL DEXA 10MG TAB,1,117.0,12/06/20 12:45,"527 14th St, Boston, MA 02215"
298923,ZINE 10MG FC TAB 30S,1,5710.0,12/02/20 09:48,"578 Adams St, New York City, NY 10001"
298924,THERMOLYTE MAXIMUS 30S,1,54384.0,12/31/20 20:23,"903 2nd St, San Francisco, CA 94016"
298925,USB-C Charging Cable,1,11.95,12/16/20 00:29,"242 Willow St, Atlanta, GA 30301"
298926,Tremenza Sirup 60 ml,1,22000.0,12/21/20 21:31,"62 Lakeview St, Atlanta, GA 30301"
298927,TENACE 10MG,1,5971.0,12/28/20 18:14,"864 Lincoln St, San Francisco, CA 94016"
298928,Ranitidine 150 mg 10 Tablet,1,1800.0,12/18/20 10:37,"789 South St, Seattle, WA 98101"
298929,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,12/15/20 13:33,"729 Church St, Atlanta, GA 30301"
298930,USB-C Charging Cable,1,11.95,12/20/20 16:15,"109 Dogwood St, Atlanta, GA 30301"
298931,USB-C Charging Cable,1,11.95,12/24/20 00:08,"484 Highland St, Los Angeles, CA 90001"
298932,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,12/10/20 14:26,"270 Meadow St, San Francisco, CA 94016"
298933,USB-C Charging Cable,1,11.95,12/21/20 14:19,"457 Elm St, New York City, NY 10001"
298934,CEFADROXIL BERNO 500MG CAP,1,1707.0,12/11/20 12:23,"276 Sunset St, San Francisco, CA 94016"
298934,DIABEMED CAP 24S,1,39972.0,12/11/20 12:23,"276 Sunset St, San Francisco, CA 94016"
298935,CERETON CAP,1,6744.0,12/26/20 22:22,"898 14th St, Dallas, TX 75001"
298936,PROPANOLOL DEXA 10MG TAB,1,117.0,12/14/20 12:30,"215 6th St, New York City, NY 10001"
298937,THERMOLYTE MAXIMUS 30S,1,54384.0,12/15/20 22:19,"536 1st St, Boston, MA 02215"
298938,LISINOPRIL 10MG TAB NOVELL,1,780.0,12/10/20 09:59,"335 Elm St, Seattle, WA 98101"
