Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
153711,ASAM MEFENAMAT BERNO 500MG,1,423.0,02/27/20 23:44,"919 Johnson St, San Francisco, CA 94016"
153712,CEFADROXIL BERNO 500MG CAP,1,1707.0,02/18/20 11:51,"505 Forest St, Dallas, TX 75001"
153713,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,02/23/20 00:12,"534 5th St, Boston, MA 02215"
153714,ASAM MEFENAMAT BERNO 500MG,1,423.0,02/03/20 19:47,"625 2nd St, Los Angeles, CA 90001"
153715,ASAM MEFENAMAT BERNO 500MG,1,423.0,02/19/20 16:21,"210 4th St, Los Angeles, CA 90001"
153716,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,02/08/20 15:29,"73 Elm St, Los Angeles, CA 90001"
153717,ASAM MEFENAMAT BERNO 500MG,1,423.0,02/25/20 12:16,"132 7th St, San Francisco, CA 94016"
153718,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,02/14/20 18:57,"174 Walnut St, Seattle, WA 98101"
153719,IBUPROFEN 400MG TAB,1,594.0,02/16/20 22:08,"351 14th St, Portland, OR 97035"
153720,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,02/18/20 13:09,"68 12th St, Portland, OR 97035"
153721,USB-C Charging Cable,1,11.95,02/08/20 23:19,"199 Jackson St, New York City, NY 10001"
153722,CEFADROXIL BERNO 500MG CAP,1,1707.0,02/23/20 09:32,"255 Park St, San Francisco, CA 94016"
153723,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,02/02/20 07:40,"258 Madison St, Boston, MA 02215"
153723,USB-C Charging Cable,1,11.95,02/02/20 07:40,"258 Madison St, Boston, MA 02215"
153724,THERMOLYTE MAXIMUS 30S,1,54384.0,02/24/20 23:31,"862 Highland St, Atlanta, GA 30301"
153725,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,02/07/20 08:21,"300 Jackson St, Portland, OR 97035"
153726,Ranitidine 150 mg 10 Tablet,1,1800.0,02/24/20 15:40,"189 12th St, Atlanta, GA 30301"
153727,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,02/10/20 16:16,"107 7th St, San Francisco, CA 94016"
153728,PROPANOLOL DEXA 10MG TAB,1,117.0,02/13/20 21:27,"809 Chestnut St, New York City, NY 10001"
153729,USB-C Charging Cable,1,11.95,02/05/20 13:44,"23 Jackson St, Atlanta, GA 30301"
