Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,CEFIXIME DEXA 100MG CAP 50S,1,149.99,01/20/20 00:06,"34 Hickory St, Los Angeles, CA 90001"
141235,CAPTOPRIL IF 25MG TAB,1,2197.0,01/16/20 19:49,"29 River St, San Francisco, CA 94016"
141236,Ranitidine 150 mg 10 Tablet,1,1800.0,01/18/20 22:10,"380 Pine St, Austin, TX 73301"
141237,PONSTAN 500MG TAB,1,3356.0,01/01/20 13:05,"400 Madison St, Dallas, TX 75001"
141238,CERETON CAP,1,6744.0,01/22/20 08:08,"396 Pine St, San Francisco, CA 94016"
141239,CEFIXIME DEXA 100MG CAP 50S,1,149.99,01/24/20 17:19,"715 Lakeview St, Los Angeles, CA 90001"
141240,CAPTOPRIL IF 25MG TAB,1,2197.0,01/08/20 14:05,"659 West St, Los Angeles, CA 90001"
141241,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,01/14/20 10:09,"937 13th St, Seattle, WA 98101"
141242,SIMVASTATIN DEXA 10MG TAB,1,1151.0,01/09/20 23:53,"990 Lincoln St, Dallas, TX 75001"
141243,ASAM MEFENAMAT BERNO 500MG,1,423.0,01/05/20 18:00,"640 North St, New York City, NY 10001"
141244,Tremenza Sirup 60 ml,1,22000.0,01/11/20 07:44,"26 4th St, New York City, NY 10001"
141245,IBUPROFEN 400MG TAB,1,594.0,01/28/20 11:52,"466 Johnson St, Boston, MA 02215"
141246,CERETON CAP,1,6744.0,01/29/20 08:44,"398 8th St, Austin, TX 73301"
141247,Metformin 500 mg 10 Tablet,1,2000.0,01/05/20 15:16,"241 Hickory St, New York City, NY 10001"
141248,TENACE 10MG,1,5971.0,01/05/20 20:16,"354 Chestnut St, Los Angeles, CA 90001"
141249,IBUPROFEN 400MG TAB,1,594.0,01/04/20 13:06,"690 Maple St, Austin, TX 73301"
141250,USB-C Charging Cable,1,11.95,01/12/20 20:48,"582 7th St, San Francisco, CA 94016"
141251,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,01/08/20 10:21,"704 5th St, Atlanta, GA 30301"
141252,TENACE 10MG,1,5971.0,01/06/20 12:54,"307 Church St, Los Angeles, CA 90001"
141253,CAPTOPRIL IF 25MG TAB,1,2197.0,01/11/20 10:06,"277 Elm St, San Francisco, CA 94016"
141254,VEGETA HERBAL ANGGUR SACH,1,17158.0,01/25/20 13:57,"675 South St, Boston, MA 02215"
141255,THERMOLYTE MAXIMUS 30S,1,54384.0,01/15/20 16:10,"965 5th St, Atlanta, GA 30301"
141256,Paracetamol 500 mg 10 Kaplet,1,1500.0,01/28/20 17:14,"598 Johnson St, Los Angeles, CA 90001"
141257,IBUPROFEN 400MG TAB,1,594.0,01/21/20 20:40,"308 4th St, Boston, MA 02215"
141258,SIMVASTATIN DEXA 10MG TAB,1,1151.0,01/24/20 16:26,"680 Cedar St, San Francisco, CA 94016"
141259,USB-C Charging Cable,1,11.95,01/11/20 11:31,"418 Wilson St, New York City, NY 10001"
141260,LISINOPRIL 10MG TAB NOVELL,1,780.0,01/30/20 18:18,"251 North St, San Francisco, CA 94016"
141261,USB-C Charging Cable,1,11.95,01/15/20 22:01,"257 8th St, San Francisco, CA 94016"
141262,USB-C Charging Cable,3,11.95,01/07/20 17:12,"455 Dogwood St, Los Angeles, CA 90001"
141263,USB-C Charging Cable,2,11.95,01/21/20 13:49,"153 Jefferson St, Portland, OR 97035"
141264,IBUPROFEN 400MG TAB,1,594.0,01/15/20 11:14,"835 Lake St, Austin, TX 73301"
141265,TENACE 10MG,1,5971.0,01/03/20 12:49,"174 Wilson St, Atlanta, GA 30301"
141266,CEFIXIME DEXA 100MG CAP 50S,1,149.99,01/19/20 23:05,"704 6th St, Seattle, WA 98101"
141267,CAPTOPRIL IF 25MG TAB,1,2197.0,01/13/20 19:37,"575 Johnson St, San Francisco, CA 94016"
141268,USB-C Charging Cable,1,11.95,01/09/20 12:19,"882 7th St, Atlanta, GA 30301"
141269,ORALIT KIMIA FARMA 200 MG SACHET,1,1000.0,01/12/20 08:00,"780 Park St, Dallas, TX 75001"
141270,USB-C Charging Cable,2,11.95,01/29/20 10:36,"671 Dogwood St, Los Angeles, CA 90001"
141271,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,01/23/20 08:43,"855 Pine St, San Francisco, CA 94016"
141272,CAPTOPRIL IF 25MG TAB,1,2197.0,01/13/20 15:02,"959 12th St, Austin, TX 73301"
141273,CAPTOPRIL IF 25MG TAB,1,2197.0,01/19/20 13:29,"673 River St, San Francisco, CA 94016"
141274,IBUPROFEN 400MG TAB,1,594.0,01/18/20 17:46,"115 Meadow St, New York City, NY 10001"
141275,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,01/15/20 21:35,"31 Washington St, New York City, NY 10001"
141276,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,01/01/20 20:17,"857 7th St, Los Angeles, CA 90001"
141277,USB-C Charging Cable,1,11.95,01/21/20 14:36,"876 2nd St, Los Angeles, CA 90001"
141278,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,01/15/20 23:39,"752 1st St, Atlanta, GA 30301"
141279,ASAM MEFENAMAT BERNO 500MG,1,423.0,01/26/20 21:12,"320 Washington St, Austin, TX 73301"
141280,SIMVASTATIN DEXA 10MG TAB,1,1151.0,01/28/20 11:05,"890 Jefferson St, Atlanta, GA 30301"
141281,CEFADROXIL BERNO 500MG CAP,1,1707.0,01/10/20 14:01,"450 Center St, Los Angeles, CA 90001"
141282,CEFIXIME DEXA 100MG CAP 50S,1,149.99,01/03/20 13:21,"432 Willow St, Atlanta, GA 30301"
141283,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,01/04/20 12:25,"790 7th St, New York City, NY 10001"
141284,USB-C Charging Cable,1,11.95,01/22/20 23:22,"908 6th St, New York City, NY 10001"
141285,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,01/17/20 17:50,"704 5th St, Seattle, WA 98101"
141286,Ranitidine 150 mg 10 Tablet,1,1800.0,01/05/20 17:36,"653 Hickory St, San Francisco, CA 94016"
141287,IBUPROFEN 400MG TAB,1,594.0,01/30/20 12:06,"995 Jefferson St, Los Angeles, CA 90001"
141288,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,01/14/20 13:11,"131 Johnson St, New York City, NY 10001"
141289,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,01/30/20 18:40,"751 10th St, Seattle, WA 98101"
141290,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,01/04/20 17:03,"190 13th St, Los Angeles, CA 90001"
141291,USB-C Charging Cable,1,11.95,01/19/20 19:33,"172 Church St, Los Angeles, CA 90001"
141292,CERETON CAP,1,6744.0,01/22/20 13:22,"359 Adams St, Boston, MA 02215"
141293,CEFADROXIL BERNO 500MG CAP,1,1707.0,01/07/20 07:47,"543 Meadow St, New York City, NY 10001"
141294,THERMOLYTE MAXIMUS 30S,1,54384.0,01/18/20 17:39,"641 Main St, Los Angeles, CA 90001"
141295,USB-C Charging Cable,1,11.95,01/29/20 21:25,"428 Hickory St, Atlanta, GA 30301"
141296,IBUPROFEN 400MG TAB,1,594.0,01/15/20 13:12,"273 North St, New York City, NY 10001"
141297,CEFIXIME DEXA 100MG CAP 50S,1,149.99,01/19/20 19:07,"409 South St, Portland, OR 97035"
141298,DIABEMED CAP 24S,1,39972.0,01/12/20 14:35,"482 Lincoln St, San Francisco, CA 94016"
141299,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,01/20/20 10:04,"501 1st St, Austin, TX 73301"
141300,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,01/11/20 15:41,"170 9th St, New York City, NY 10001"
141301,TENACE 10MG,1,5971.0,01/20/20 21:06,"483 Walnut St, San Francisco, CA 94016"
141302,LISINOPRIL 10MG TAB NOVELL,1,780.0,01/05/20 19:55,"44 West St, Los Angeles, CA 90001"
141302,TRENTAL 400MG TAB,1,17055.0,01/05/20 19:55,"44 West St, Los Angeles, CA 90001"
141303,Paracetamol 500 mg 10 Kaplet,1,1500.0,01/07/20 19:27,"810 Park St, Dallas, TX 75001"
141304,SIMVASTATIN DEXA 10MG TAB,1,1151.0,01/26/20 09:55,"754 Park St, New York City, NY 10001"
141305,USB-C Charging Cable,1,11.95,01/24/20 17:22,"985 Spruce St, Los Angeles, CA 90001"
141306,CEFADROXIL BERNO 500MG CAP,1,1707.0,01/10/20 16:57,"140 Washington St, New York City, NY 10001"
141307,ORALIT KIMIA FARMA 200 MG SACHET,1,1000.0,01/20/20 15:49,"31 Dogwood St, Atlanta, GA 30301"
141308,THERMOLYTE MAXIMUS 30S,1,54384.0,01/01/20 12:45,"312 Elm St, Dallas, TX 75001"
