Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
225775,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,07/12/20 16:20,"227 2nd St, San Francisco, CA 94016"
225776,CERETON CAP,1,6744.0,07/23/20 05:30,"96 Willow St, San Francisco, CA 94016"
225777,DIABEMED CAP 24S,1,39972.0,07/20/20 08:06,"397 South St, Dallas, TX 75001"
225778,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,07/11/20 21:55,"733 Lincoln St, Seattle, WA 98101"
225779,USB-C Charging Cable,1,11.95,07/13/20 20:46,"774 13th St, Atlanta, GA 30301"
225780,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,07/30/20 16:41,"746 North St, San Francisco, CA 94016"
225781,USB-C Charging Cable,1,11.95,07/14/20 20:55,"800 West St, New York City, NY 10001"
225782,USB-C Charging Cable,1,11.95,07/22/20 14:15,"219 5th St, San Francisco, CA 94016"
225783,CEFIXIME DEXA 100MG CAP 50S,1,149.99,07/02/20 08:44,"577 Hill St, Austin, TX 73301"
225784,ZINE 10MG FC TAB 30S,1,5710.0,07/11/20 18:55,"676 6th St, Portland, ME 04101"
225785,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,07/05/20 22:33,"769 Maple St, New York City, NY 10001"
225786,LISINOPRIL 10MG TAB NOVELL,1,780.0,07/14/20 11:02,"102 10th St, Boston, MA 02215"
225787,CERETON CAP,1,6744.0,07/14/20 09:08,"647 Sunset St, Portland, OR 97035"
225788,USB-C Charging Cable,1,11.95,07/21/20 05:21,"400 Ridge St, Boston, MA 02215"
225789,TRENTAL 400MG TAB,1,17055.0,07/25/20 20:41,"441 Main St, Seattle, WA 98101"
225790,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,07/16/20 12:47,"25 Park St, Portland, OR 97035"
225791,Paracetamol 500 mg 10 Kaplet,1,1500.0,07/13/20 19:20,"110 Cherry St, Boston, MA 02215"
225792,Metformin 500 mg 10 Tablet,1,2000.0,07/13/20 14:53,"896 7th St, Boston, MA 02215"
225793,VEGETA HERBAL ANGGUR SACH,1,17158.0,07/17/20 07:25,"690 9th St, Atlanta, GA 30301"
225794,CERETON CAP,1,6744.0,07/03/20 23:00,"887 11th St, San Francisco, CA 94016"
225795,CERETON CAP,1,6744.0,07/03/20 20:36,"647 4th St, Los Angeles, CA 90001"
225796,CEFIXIME DEXA 100MG CAP 50S,1,149.99,07/17/20 23:34,"316 Ridge St, Dallas, TX 75001"
225797,VEGETA HERBAL ANGGUR SACH,1,17158.0,07/23/20 13:02,"213 Lake St, San Francisco, CA 94016"
225798,USB-C Charging Cable,1,11.95,07/19/20 00:40,"393 5th St, Austin, TX 73301"
225799,CAPTOPRIL IF 25MG TAB,1,2197.0,07/13/20 14:57,"594 Madison St, Boston, MA 02215"
225800,ORALIT KIMIA FARMA 200 MG SACHET,1,1000.0,07/18/20 11:56,"248 Jackson St, San Francisco, CA 94016"
225801,Tremenza Sirup 60 ml,1,22000.0,07/18/20 22:17,"941 Cedar St, San Francisco, CA 94016"
225802,CERETON CAP,1,6744.0,07/16/20 20:03,"686 Johnson St, San Francisco, CA 94016"
225803,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,07/08/20 12:00,"797 6th St, Seattle, WA 98101"
225804,ASAM MEFENAMAT BERNO 500MG,1,423.0,07/14/20 10:56,"437 1st St, Seattle, WA 98101"
225805,USB-C Charging Cable,1,11.95,07/11/20 06:39,"493 1st St, Los Angeles, CA 90001"
225806,USB-C Charging Cable,1,11.95,07/21/20 11:07,"88 Walnut St, San Francisco, CA 94016"
225807,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,07/22/20 11:37,"921 Sunset St, Seattle, WA 98101"
225808,CEFADROXIL BERNO 500MG CAP,1,1707.0,07/23/20 22:01,"761 Main St, Austin, TX 73301"
225809,USB-C Charging Cable,1,11.95,07/30/20 12:01,"180 7th St, San Francisco, CA 94016"
225810,Paracetamol 500 mg 10 Kaplet,1,1500.0,07/29/20 17:42,"316 1st St, Portland, OR 97035"
225811,USB-C Charging Cable,1,11.95,07/16/20 11:05,"777 Park St, Dallas, TX 75001"
225812,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,07/25/20 20:06,"241 7th St, Seattle, WA 98101"
225813,CEFIXIME DEXA 100MG CAP 50S,1,149.99,07/07/20 03:34,"94 South St, San Francisco, CA 94016"
225814,USB-C Charging Cable,1,11.95,07/12/20 12:15,"724 Ridge St, New York City, NY 10001"
225815,CERETON CAP,1,6744.0,07/31/20 11:34,"76 Jackson St, Seattle, WA 98101"
225816,CERETON CAP,1,6744.0,07/20/20 12:43,"12 13th St, Dallas, TX 75001"
225817,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,07/28/20 17:13,"910 Pine St, Los Angeles, CA 90001"
225818,PROPANOLOL DEXA 10MG TAB,1,117.0,07/06/20 12:04,"22 Jefferson St, New York City, NY 10001"
