Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
213224,THERMOLYTE MAXIMUS 30S,1,54384.0,06/23/20 21:38,"544 Hill St, San Francisco, CA 94016"
213225,USB-C Charging Cable,1,11.95,06/17/20 18:22,"482 Forest St, Dallas, TX 75001"
213226,IBUPROFEN 400MG TAB,1,594.0,06/10/20 20:56,"267 11th St, San Francisco, CA 94016"
213227,THERMOLYTE MAXIMUS 30S,1,54384.0,06/06/20 22:30,"616 Pine St, San Francisco, CA 94016"
213228,Tremenza Sirup 60 ml,1,22000.0,06/19/20 11:01,"98 1st St, Boston, MA 02215"
213229,LISINOPRIL 10MG TAB NOVELL,1,780.0,06/14/20 20:30,"679 North St, Los Angeles, CA 90001"
213230,USB-C Charging Cable,1,11.95,06/21/20 05:35,"804 Spruce St, New York City, NY 10001"
213231,LISINOPRIL 10MG TAB NOVELL,1,780.0,06/17/20 12:41,"300 Chestnut St, Los Angeles, CA 90001"
213232,USB-C Charging Cable,1,11.95,06/01/20 16:49,"504 13th St, San Francisco, CA 94016"
213233,USB-C Charging Cable,1,11.95,06/20/20 11:53,"774 Adams St, Dallas, TX 75001"
213234,USB-C Charging Cable,1,11.95,06/17/20 15:33,"194 River St, Los Angeles, CA 90001"
213235,THERMOLYTE MAXIMUS 30S,1,54384.0,06/15/20 06:44,"302 Sunset St, Atlanta, GA 30301"
213236,CEFIXIME DEXA 100MG CAP 50S,1,149.99,06/15/20 10:54,"986 Spruce St, Boston, MA 02215"
213237,LISINOPRIL 10MG TAB NOVELL,1,780.0,06/21/20 16:56,"743 8th St, New York City, NY 10001"
213238,CAPTOPRIL IF 25MG TAB,1,2197.0,06/16/20 21:16,"318 4th St, Portland, OR 97035"
213239,CERETON CAP,1,6744.0,06/15/20 20:57,"218 Lakeview St, San Francisco, CA 94016"
213240,ZINE 10MG FC TAB 30S,1,5710.0,06/19/20 12:25,"900 Church St, San Francisco, CA 94016"
213241,CAPTOPRIL IF 25MG TAB,1,2197.0,06/21/20 11:11,"235 Adams St, San Francisco, CA 94016"
213242,USB-C Charging Cable,1,11.95,06/14/20 08:54,"692 Meadow St, Austin, TX 73301"
213243,Ranitidine 150 mg 10 Tablet,1,1800.0,06/16/20 00:41,"15 Lakeview St, San Francisco, CA 94016"
213244,TENACE 10MG,1,5971.0,06/27/20 16:54,"936 Pine St, Atlanta, GA 30301"
213245,PONSTAN 500MG TAB,1,3356.0,06/07/20 08:21,"7 7th St, Los Angeles, CA 90001"
213246,CERETON CAP,1,6744.0,06/16/20 18:12,"3 Dogwood St, San Francisco, CA 94016"
213247,TENACE 10MG,1,5971.0,06/10/20 11:41,"92 Park St, New York City, NY 10001"
213248,USB-C Charging Cable,2,11.95,06/19/20 13:33,"781 Maple St, Atlanta, GA 30301"
213249,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,06/24/20 03:04,"553 River St, Los Angeles, CA 90001"
213250,TENACE 10MG,1,5971.0,06/19/20 16:13,"593 5th St, Portland, OR 97035"
213251,IBUPROFEN 400MG TAB,1,594.0,06/08/20 11:27,"138 12th St, San Francisco, CA 94016"
213252,CAPTOPRIL IF 25MG TAB,1,2197.0,06/08/20 12:42,"827 West St, New York City, NY 10001"
213253,TRENTAL 400MG TAB,1,17055.0,06/13/20 00:13,"458 Chestnut St, New York City, NY 10001"
213254,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,06/07/20 10:46,"48 Sunset St, Boston, MA 02215"
213255,IBUPROFEN 400MG TAB,1,594.0,06/03/20 19:31,"745 River St, Atlanta, GA 30301"
213256,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,06/24/20 07:29,"542 Cedar St, Portland, OR 97035"
213257,ORALIT KIMIA FARMA 200 MG SACHET,1,1000.0,06/01/20 13:44,"519 River St, Austin, TX 73301"
213258,Metformin 500 mg 10 Tablet,1,2000.0,06/03/20 13:27,"256 Cherry St, Los Angeles, CA 90001"
213259,Metformin 500 mg 10 Tablet,1,2000.0,06/29/20 20:36,"445 Adams St, Los Angeles, CA 90001"
213260,USB-C Charging Cable,1,11.95,06/28/20 21:10,"501 Church St, Atlanta, GA 30301"
213261,CEFIXIME DEXA 100MG CAP 50S,1,149.99,06/29/20 18:45,"793 Pine St, Portland, OR 97035"
213262,IBUPROFEN 400MG TAB,1,594.0,06/25/20 11:07,"33 Willow St, Boston, MA 02215"
213263,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,06/28/20 11:25,"221 Willow St, Boston, MA 02215"
213263,IBUPROFEN 400MG TAB,1,594.0,06/28/20 11:25,"221 Willow St, Boston, MA 02215"
213264,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,06/26/20 21:09,"270 Jefferson St, Boston, MA 02215"
213265,CEFADROXIL BERNO 500MG CAP,1,1707.0,06/24/20 18:06,"695 Chestnut St, Seattle, WA 98101"
213266,VEGETA HERBAL ANGGUR SACH,1,17158.0,06/07/20 20:42,"701 North St, Los Angeles, CA 90001"
213267,IBUPROFEN 400MG TAB,1,594.0,06/29/20 11:18,"683 1st St, New York City, NY 10001"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
213268,CEFIXIME DEXA 100MG CAP 50S,1,149.99,06/14/20 12:21,"588 Willow St, San Francisco, CA 94016"
213269,VEGETA HERBAL ANGGUR SACH,1,17158.0,06/09/20 00:57,"285 Lincoln St, San Francisco, CA 94016"
213270,CERETON CAP,1,6744.0,06/24/20 22:38,"420 Sunset St, Dallas, TX 75001"
213271,ORALIT KIMIA FARMA 200 MG SACHET,1,1000.0,06/19/20 22:35,"731 2nd St, Boston, MA 02215"
213272,PROPANOLOL DEXA 10MG TAB,1,117.0,06/24/20 20:54,"462 8th St, Seattle, WA 98101"
213273,Paracetamol 500 mg 10 Kaplet,1,1500.0,06/14/20 10:04,"492 Jackson St, Seattle, WA 98101"
213274,USB-C Charging Cable,1,11.95,06/29/20 10:26,"133 Main St, Atlanta, GA 30301"
213275,Ranitidine 150 mg 10 Tablet,1,1800.0,06/29/20 20:25,"506 West St, Boston, MA 02215"
213276,IBUPROFEN 400MG TAB,1,594.0,06/21/20 11:46,"892 Main St, Atlanta, GA 30301"
213277,USB-C Charging Cable,1,11.95,06/20/20 14:09,"65 North St, San Francisco, CA 94016"
213278,DIABEMED CAP 24S,1,39972.0,06/01/20 12:39,"525 Walnut St, San Francisco, CA 94016"
213279,TRENTAL 400MG TAB,1,17055.0,06/18/20 20:57,"367 Lincoln St, Seattle, WA 98101"
213280,PROPANOLOL DEXA 10MG TAB,1,117.0,06/01/20 19:11,"717 8th St, Atlanta, GA 30301"
213281,SIMVASTATIN DEXA 10MG TAB,1,1151.0,06/30/20 09:36,"11 Willow St, New York City, NY 10001"
213282,ASAM MEFENAMAT BERNO 500MG,1,423.0,06/03/20 20:44,"564 11th St, San Francisco, CA 94016"
213283,USB-C Charging Cable,1,11.95,06/18/20 18:00,"457 12th St, New York City, NY 10001"
213284,SIMVASTATIN DEXA 10MG TAB,1,1151.0,06/01/20 10:51,"453 Pine St, Dallas, TX 75001"
213285,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,06/09/20 22:10,"393 Highland St, Boston, MA 02215"
213286,Biosan 275 mg 6 Tablet,1,100000.0,06/30/20 23:45,"108 South St, Seattle, WA 98101"
213287,USB-C Charging Cable,1,11.95,06/05/20 15:59,"612 11th St, Austin, TX 73301"
213288,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,06/12/20 08:37,"939 1st St, Los Angeles, CA 90001"
213289,PROPANOLOL DEXA 10MG TAB,1,117.0,06/06/20 18:03,"466 Willow St, San Francisco, CA 94016"
213290,VEGETA HERBAL ANGGUR SACH,1,17158.0,06/19/20 22:11,"532 Spruce St, Dallas, TX 75001"
213291,USB-C Charging Cable,1,11.95,06/01/20 06:36,"738 Walnut St, Austin, TX 73301"
213292,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,06/24/20 07:02,"991 10th St, New York City, NY 10001"
213293,CERETON CAP,1,6744.0,06/16/20 16:00,"513 Jefferson St, New York City, NY 10001"
213294,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,06/27/20 18:50,"942 4th St, San Francisco, CA 94016"
213295,LISINOPRIL 10MG TAB NOVELL,1,780.0,06/26/20 13:22,"286 7th St, Atlanta, GA 30301"
213296,USB-C Charging Cable,1,11.95,06/22/20 06:54,"11 Cherry St, Atlanta, GA 30301"
213297,ASAM MEFENAMAT BERNO 500MG,1,423.0,06/18/20 09:59,"224 13th St, Boston, MA 02215"
213298,VEGETA HERBAL ANGGUR SACH,1,17158.0,06/04/20 07:48,"84 Cherry St, Portland, OR 97035"
