Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
173869,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,03/30/20 21:04,"591 Meadow St, Boston, MA 02215"
173870,USB-C Charging Cable,1,11.95,03/23/20 21:10,"417 Forest St, Atlanta, GA 30301"
173871,TENACE 10MG,1,5971.0,03/08/20 18:10,"300 Adams St, Atlanta, GA 30301"
173872,Metformin 500 mg 10 Tablet,1,2000.0,03/23/20 17:42,"695 Center St, Los Angeles, CA 90001"
173872,USB-C Charging Cable,1,11.95,03/23/20 17:42,"695 Center St, Los Angeles, CA 90001"
173873,IBUPROFEN 400MG TAB,1,594.0,03/21/20 23:12,"944 Cedar St, Los Angeles, CA 90001"
173874,CERETON CAP,1,6744.0,03/19/20 08:33,"465 1st St, San Francisco, CA 94016"
173875,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,03/27/20 14:27,"386 Dogwood St, Seattle, WA 98101"
173876,ANTANGIN JRG ORIGINAL SACH,1,38150.0,03/13/20 19:00,"221 2nd St, Atlanta, GA 30301"
173877,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,03/21/20 12:17,"271 Willow St, San Francisco, CA 94016"
173878,SIMVASTATIN DEXA 10MG TAB,1,1151.0,03/02/20 07:24,"16 Church St, San Francisco, CA 94016"
173879,LISINOPRIL 10MG TAB NOVELL,1,780.0,03/23/20 13:11,"274 1st St, Atlanta, GA 30301"
173880,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,03/09/20 12:19,"207 Lakeview St, San Francisco, CA 94016"
173881,Metformin 500 mg 10 Tablet,1,2000.0,03/30/20 12:19,"948 Elm St, Seattle, WA 98101"
173882,TENACE 10MG,1,5971.0,03/14/20 23:59,"736 Madison St, Atlanta, GA 30301"
173883,PROPANOLOL DEXA 10MG TAB,1,117.0,03/26/20 17:33,"952 Pine St, Los Angeles, CA 90001"
173884,ASAM MEFENAMAT BERNO 500MG,1,423.0,03/28/20 18:01,"212 Sunset St, Los Angeles, CA 90001"
173885,DIABEMED CAP 24S,1,39972.0,03/11/20 12:00,"421 Lakeview St, Dallas, TX 75001"
173886,USB-C Charging Cable,2,11.95,03/18/20 16:19,"318 Willow St, New York City, NY 10001"
173887,USB-C Charging Cable,1,11.95,03/30/20 11:36,"962 River St, Atlanta, GA 30301"
173888,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,03/13/20 21:47,"891 Meadow St, San Francisco, CA 94016"
173889,TENACE 10MG,1,5971.0,03/14/20 04:07,"321 Center St, San Francisco, CA 94016"
173890,USB-C Charging Cable,2,11.95,03/22/20 11:12,"941 Meadow St, New York City, NY 10001"
173891,Tremenza Sirup 60 ml,1,22000.0,03/31/20 15:29,"238 Jackson St, San Francisco, CA 94016"
173892,USB-C Charging Cable,3,11.95,03/04/20 08:24,"18 West St, San Francisco, CA 94016"
173893,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,03/26/20 18:43,"676 12th St, Los Angeles, CA 90001"
173894,USB-C Charging Cable,1,11.95,03/25/20 06:37,"441 10th St, Los Angeles, CA 90001"
173895,CEFADROXIL BERNO 500MG CAP,1,1707.0,03/21/20 18:10,"133 Washington St, New York City, NY 10001"
173896,USB-C Charging Cable,1,11.95,03/01/20 14:11,"457 9th St, San Francisco, CA 94016"
173897,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,03/04/20 21:08,"932 Madison St, Dallas, TX 75001"
173898,PONSTAN 500MG TAB,1,3356.0,03/21/20 13:28,"430 Ridge St, Los Angeles, CA 90001"
173899,ASAM MEFENAMAT BERNO 500MG,1,423.0,03/30/20 22:22,"39 Hickory St, San Francisco, CA 94016"
173900,USB-C Charging Cable,2,11.95,03/04/20 14:54,"917 Madison St, Atlanta, GA 30301"
173901,TENACE 10MG,1,5971.0,03/31/20 18:11,"955 7th St, Boston, MA 02215"
173902,USB-C Charging Cable,1,11.95,03/10/20 14:00,"332 Main St, Boston, MA 02215"
173903,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,03/07/20 12:08,"540 Cedar St, Atlanta, GA 30301"
173904,TENACE 10MG,1,5971.0,03/05/20 07:45,"655 Sunset St, Boston, MA 02215"
173904,PROPANOLOL DEXA 10MG TAB,1,117.0,03/05/20 07:45,"655 Sunset St, Boston, MA 02215"
173905,Metformin 500 mg 10 Tablet,1,2000.0,03/28/20 23:54,"801 Dogwood St, San Francisco, CA 94016"
173906,CEFADROXIL BERNO 500MG CAP,1,1707.0,03/03/20 08:11,"496 11th St, San Francisco, CA 94016"
173907,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,03/10/20 16:53,"931 Main St, San Francisco, CA 94016"
173908,Metformin 500 mg 10 Tablet,1,2000.0,03/25/20 19:33,"924 Washington St, Los Angeles, CA 90001"
173909,Metformin 500 mg 10 Tablet,1,2000.0,03/14/20 12:23,"253 Madison St, Austin, TX 73301"
173910,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,03/25/20 10:00,"113 Hickory St, San Francisco, CA 94016"
173911,USB-C Charging Cable,1,11.95,03/06/20 16:48,"187 Lincoln St, Atlanta, GA 30301"
