Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
192228,USB-C Charging Cable,1,11.95,05/08/20 14:41,"890 Cherry St, New York City, NY 10001"
192229,TENACE 10MG,1,5971.0,05/20/20 21:29,"912 2nd St, New York City, NY 10001"
192230,TENACE 10MG,1,5971.0,05/21/20 14:46,"71 Madison St, New York City, NY 10001"
192231,ORALIT KIMIA FARMA 200 MG SACHET,1,1000.0,05/02/20 10:58,"913 9th St, Los Angeles, CA 90001"
192232,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,05/26/20 20:05,"192 North St, New York City, NY 10001"
192233,USB-C Charging Cable,1,11.95,05/09/20 12:53,"764 Lake St, Dallas, TX 75001"
192234,ZINE 10MG FC TAB 30S,1,5710.0,05/05/20 11:23,"463 Dogwood St, San Francisco, CA 94016"
192235,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,05/12/20 09:34,"654 Madison St, Los Angeles, CA 90001"
192236,SIMVASTATIN DEXA 10MG TAB,1,1151.0,05/07/20 11:58,"22 Main St, New York City, NY 10001"
192237,IBUPROFEN 400MG TAB,1,594.0,05/31/20 14:57,"14 5th St, Boston, MA 02215"
192238,CERETON CAP,1,6744.0,05/07/20 09:26,"806 Center St, Seattle, WA 98101"
192239,USB-C Charging Cable,1,11.95,05/30/20 21:19,"829 Willow St, New York City, NY 10001"
192240,CEFIXIME DEXA 100MG CAP 50S,1,149.99,05/11/20 23:33,"620 South St, Boston, MA 02215"
192241,DIABEMED CAP 24S,1,39972.0,05/14/20 23:20,"818 Center St, New York City, NY 10001"
192242,LISINOPRIL 10MG TAB NOVELL,1,780.0,05/24/20 11:40,"368 Jefferson St, Los Angeles, CA 90001"
192243,USB-C Charging Cable,1,11.95,05/01/20 20:08,"125 Park St, Seattle, WA 98101"
192244,ASAM MEFENAMAT BERNO 500MG,1,423.0,05/14/20 17:21,"537 Ridge St, New York City, NY 10001"
192245,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,05/26/20 10:58,"471 Cedar St, New York City, NY 10001"
192246,USB-C Charging Cable,1,11.95,05/03/20 17:05,"515 Hickory St, Portland, ME 04101"
192247,TRENTAL 400MG TAB,1,17055.0,05/31/20 19:29,"653 Elm St, Dallas, TX 75001"
192248,CERETON CAP,1,6744.0,05/22/20 18:23,"546 Jefferson St, Los Angeles, CA 90001"
192249,PONSTAN 500MG TAB,1,3356.0,05/24/20 18:55,"13 Park St, New York City, NY 10001"
192250,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,05/12/20 11:04,"143 Highland St, Atlanta, GA 30301"
192251,USB-C Charging Cable,1,11.95,05/17/20 19:45,"747 Lake St, Dallas, TX 75001"
192252,CAPTOPRIL IF 25MG TAB,1,2197.0,05/14/20 14:44,"591 14th St, San Francisco, CA 94016"
192253,USB-C Charging Cable,1,11.95,05/10/20 21:30,"227 Pine St, New York City, NY 10001"
192254,IBUPROFEN 400MG TAB,1,594.0,05/18/20 09:29,"657 2nd St, San Francisco, CA 94016"
192255,PONSTAN 500MG TAB,1,3356.0,05/07/20 21:26,"936 13th St, Dallas, TX 75001"
192256,CAPTOPRIL IF 25MG TAB,1,2197.0,05/22/20 13:10,"478 8th St, San Francisco, CA 94016"
192257,LISINOPRIL 10MG TAB NOVELL,1,780.0,05/04/20 04:03,"214 2nd St, Boston, MA 02215"
192258,USB-C Charging Cable,1,11.95,05/04/20 21:09,"591 1st St, Austin, TX 73301"
192259,USB-C Charging Cable,1,11.95,05/17/20 02:51,"154 14th St, Los Angeles, CA 90001"
192260,USB-C Charging Cable,1,11.95,05/07/20 09:21,"973 Chestnut St, New York City, NY 10001"
192261,PROPANOLOL DEXA 10MG TAB,1,117.0,05/04/20 12:06,"577 River St, Dallas, TX 75001"
192262,USB-C Charging Cable,1,11.95,05/04/20 00:33,"465 Adams St, San Francisco, CA 94016"
192263,CAPTOPRIL IF 25MG TAB,1,2197.0,05/28/20 20:51,"71 Hill St, San Francisco, CA 94016"
192264,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,05/18/20 16:36,"132 Church St, Austin, TX 73301"
192265,USB-C Charging Cable,2,11.95,05/04/20 17:38,"450 Cedar St, San Francisco, CA 94016"
192266,USB-C Charging Cable,1,11.95,05/15/20 10:16,"505 13th St, Atlanta, GA 30301"
192267,CEFADROXIL BERNO 500MG CAP,1,1707.0,05/29/20 10:04,"34 Chestnut St, Los Angeles, CA 90001"
192268,CAPTOPRIL IF 25MG TAB,1,2197.0,05/16/20 00:12,"727 2nd St, Atlanta, GA 30301"
192269,CEFIXIME DEXA 100MG CAP 50S,1,149.99,05/13/20 22:04,"194 North St, Los Angeles, CA 90001"
192270,Paracetamol 500 mg 10 Kaplet,1,1500.0,05/16/20 19:22,"963 South St, New York City, NY 10001"
