Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
263477,TRENTAL 400MG TAB,1,17055.0,10/29/20 14:07,"367 Forest St, San Francisco, CA 94016"
263478,VEGETA HERBAL ANGGUR SACH,1,17158.0,10/07/20 05:31,"681 Ridge St, Portland, ME 04101"
263479,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,10/23/20 18:17,"568 Adams St, Dallas, TX 75001"
263480,MERIT SACH 30S,1,45615.0,10/29/20 19:53,"100 Jackson St, San Francisco, CA 94016"
263481,THERMOLYTE MAXIMUS 30S,1,54384.0,10/16/20 09:43,"187 Madison St, Portland, OR 97035"
263482,PROPANOLOL DEXA 10MG TAB,1,117.0,10/29/20 03:41,"723 Lake St, Seattle, WA 98101"
263483,THERMOLYTE MAXIMUS 30S,1,54384.0,10/13/20 19:26,"510 9th St, Portland, ME 04101"
263484,ZINE 10MG FC TAB 30S,1,5710.0,10/11/20 14:15,"733 Main St, Boston, MA 02215"
263485,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,10/12/20 19:02,"826 Lake St, Los Angeles, CA 90001"
263486,CEFADROXIL BERNO 500MG CAP,1,1707.0,10/19/20 21:59,"840 Maple St, San Francisco, CA 94016"
263487,PROPANOLOL DEXA 10MG TAB,1,117.0,10/22/20 18:42,"80 River St, Atlanta, GA 30301"
263488,ASAM MEFENAMAT BERNO 500MG,1,423.0,10/27/20 20:25,"943 River St, New York City, NY 10001"
263489,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,10/12/20 12:13,"984 13th St, Atlanta, GA 30301"
263490,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,10/22/20 08:18,"685 8th St, Los Angeles, CA 90001"
263491,THERMOLYTE MAXIMUS 30S,1,54384.0,10/27/20 15:44,"204 Highland St, Atlanta, GA 30301"
263492,CERETON CAP,1,6744.0,10/18/20 14:40,"429 4th St, Boston, MA 02215"
263493,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,10/08/20 13:46,"965 Maple St, San Francisco, CA 94016"
263494,SIMVASTATIN DEXA 10MG TAB,1,1151.0,10/25/20 21:17,"352 Jackson St, Seattle, WA 98101"
263495,PONSTAN 500MG TAB,1,3356.0,10/03/20 16:29,"277 Jefferson St, Boston, MA 02215"
263496,PONSTAN 500MG TAB,1,3356.0,10/03/20 13:20,"654 Cherry St, New York City, NY 10001"
263497,CEFADROXIL BERNO 500MG CAP,1,1707.0,10/02/20 07:28,"292 9th St, Dallas, TX 75001"
263498,USB-C Charging Cable,1,11.95,10/20/20 21:16,"914 2nd St, Portland, OR 97035"
263499,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,10/14/20 11:14,"744 13th St, San Francisco, CA 94016"
263500,USB-C Charging Cable,1,11.95,10/24/20 15:53,"289 Walnut St, Seattle, WA 98101"
263501,TRENTAL 400MG TAB,1,17055.0,10/21/20 11:29,"54 West St, San Francisco, CA 94016"
263502,PONSTAN 500MG TAB,1,3356.0,10/07/20 19:40,"886 8th St, Boston, MA 02215"
263503,ASAM MEFENAMAT BERNO 500MG,1,423.0,10/24/20 17:47,"695 Hickory St, Los Angeles, CA 90001"
263504,CERETON CAP,1,6744.0,10/08/20 13:36,"353 9th St, San Francisco, CA 94016"
263505,VEGETA HERBAL ANGGUR SACH,1,17158.0,10/09/20 19:03,"459 Center St, San Francisco, CA 94016"
263506,IBUPROFEN 400MG TAB,1,594.0,10/07/20 12:18,"239 Cherry St, Dallas, TX 75001"
263507,USB-C Charging Cable,1,11.95,10/24/20 12:46,"735 Hickory St, Los Angeles, CA 90001"
263508,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,10/19/20 05:10,"128 Walnut St, Seattle, WA 98101"
263509,ZINE 10MG FC TAB 30S,1,5710.0,10/02/20 14:58,"306 Forest St, Boston, MA 02215"
263510,LISINOPRIL 10MG TAB NOVELL,1,780.0,10/24/20 19:30,"510 Forest St, New York City, NY 10001"
263511,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,10/23/20 00:18,"475 8th St, Seattle, WA 98101"
263512,Ranitidine 150 mg 10 Tablet,1,1800.0,10/03/20 16:45,"325 Chestnut St, Dallas, TX 75001"
263513,TENACE 10MG,1,5971.0,10/14/20 16:45,"122 River St, Boston, MA 02215"
263514,TRENTAL 400MG TAB,1,17055.0,10/02/20 19:01,"429 Chestnut St, San Francisco, CA 94016"
263515,ORALIT KIMIA FARMA 200 MG SACHET,1,1000.0,10/21/20 13:39,"890 Lakeview St, Austin, TX 73301"
263516,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,10/03/20 12:14,"284 Johnson St, Los Angeles, CA 90001"
263517,IBUPROFEN 400MG TAB,1,594.0,10/28/20 08:24,"419 Washington St, Boston, MA 02215"
263518,USB-C Charging Cable,1,11.95,10/25/20 07:40,"104 12th St, Portland, OR 97035"
263519,Metformin 500 mg 10 Tablet,1,2000.0,10/17/20 20:31,"536 10th St, Boston, MA 02215"
263520,USB-C Charging Cable,1,11.95,10/26/20 16:06,"73 14th St, Los Angeles, CA 90001"
263521,LISINOPRIL 10MG TAB NOVELL,1,780.0,10/08/20 14:29,"245 Lincoln St, Boston, MA 02215"
263522,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,10/21/20 14:21,"723 6th St, Austin, TX 73301"
263523,CERETON CAP,1,6744.0,10/22/20 22:35,"989 Main St, Dallas, TX 75001"
263524,Tremenza Sirup 60 ml,1,22000.0,10/05/20 07:31,"709 Hill St, Los Angeles, CA 90001"
263525,Ranitidine 150 mg 10 Tablet,1,1800.0,10/27/20 13:01,"918 Spruce St, Los Angeles, CA 90001"
263526,Ranitidine 150 mg 10 Tablet,1,1800.0,10/23/20 00:23,"959 Cedar St, Seattle, WA 98101"
263527,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,10/01/20 23:20,"113 Park St, Dallas, TX 75001"
263528,USB-C Charging Cable,1,11.95,10/23/20 19:05,"3 Johnson St, Boston, MA 02215"
263529,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,10/19/20 10:51,"559 10th St, Los Angeles, CA 90001"
263530,LISINOPRIL 10MG TAB NOVELL,1,780.0,10/20/20 15:34,"511 Sunset St, Los Angeles, CA 90001"
263531,USB-C Charging Cable,1,11.95,10/20/20 23:01,"844 11th St, Los Angeles, CA 90001"
263531,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,10/20/20 23:01,"844 11th St, Los Angeles, CA 90001"
263532,USB-C Charging Cable,1,11.95,10/02/20 23:24,"635 Church St, San Francisco, CA 94016"
263533,LISINOPRIL 10MG TAB NOVELL,1,780.0,10/29/20 22:41,"506 Pine St, New York City, NY 10001"
263534,USB-C Charging Cable,1,11.95,10/10/20 22:26,"452 River St, Portland, OR 97035"
263535,USB-C Charging Cable,1,11.95,10/13/20 08:37,"824 Sunset St, New York City, NY 10001"
263536,USB-C Charging Cable,1,11.95,10/30/20 15:17,"607 Johnson St, Los Angeles, CA 90001"
263537,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,10/31/20 19:43,"8 Sunset St, San Francisco, CA 94016"
263538,ASAM MEFENAMAT BERNO 500MG,1,423.0,10/05/20 14:43,"440 Wilson St, San Francisco, CA 94016"
263539,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,10/18/20 21:32,"647 8th St, Seattle, WA 98101"
263540,TRENTAL 400MG TAB,1,17055.0,10/26/20 17:45,"306 Jackson St, Seattle, WA 98101"
263541,TENACE 10MG,1,5971.0,10/31/20 18:28,"164 2nd St, Los Angeles, CA 90001"
263542,USB-C Charging Cable,1,11.95,10/16/20 14:37,"661 North St, Boston, MA 02215"
263543,CERETON CAP,1,6744.0,10/21/20 21:58,"583 Chestnut St, Atlanta, GA 30301"
263544,USB-C Charging Cable,1,11.95,10/14/20 12:18,"316 11th St, San Francisco, CA 94016"
263545,CAPTOPRIL IF 25MG TAB,1,2197.0,10/05/20 16:53,"16 Center St, Austin, TX 73301"
263546,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,10/27/20 23:40,"942 Dogwood St, Atlanta, GA 30301"
263547,CEFADROXIL BERNO 500MG CAP,1,1707.0,10/08/20 19:26,"231 Main St, Portland, OR 97035"
263548,MERIT SACH 30S,1,45615.0,10/12/20 22:56,"434 Walnut St, Los Angeles, CA 90001"
263549,Ranitidine 150 mg 10 Tablet,1,1800.0,10/17/20 10:15,"877 6th St, Los Angeles, CA 90001"
263550,ORALIT KIMIA FARMA 200 MG SACHET,1,1000.0,10/03/20 10:58,"534 4th St, Seattle, WA 98101"
263551,ORALIT KIMIA FARMA 200 MG SACHET,1,1000.0,10/14/20 18:58,"491 Spruce St, San Francisco, CA 94016"
263552,PONSTAN 500MG TAB,1,3356.0,10/21/20 22:27,"701 Church St, Los Angeles, CA 90001"
263553,Paracetamol 500 mg 10 Kaplet,1,1500.0,10/09/20 11:26,"453 Washington St, San Francisco, CA 94016"
263554,CEFIXIME DEXA 100MG CAP 50S,1,149.99,10/21/20 15:20,"279 1st St, Austin, TX 73301"
263555,USB-C Charging Cable,1,11.95,10/21/20 15:11,"383 Highland St, Los Angeles, CA 90001"
263556,TRENTAL 400MG TAB,1,17055.0,10/28/20 17:43,"260 South St, Los Angeles, CA 90001"
263557,ORALIT KIMIA FARMA 200 MG SACHET,1,1000.0,10/19/20 09:59,"816 9th St, Boston, MA 02215"
263558,Ranitidine 150 mg 10 Tablet,1,1800.0,10/21/20 14:19,"495 Forest St, Dallas, TX 75001"
263559,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,10/03/20 16:36,"385 Johnson St, San Francisco, CA 94016"
263560,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,10/03/20 12:22,"983 Wilson St, San Francisco, CA 94016"
263561,CERETON CAP,1,6744.0,10/28/20 20:31,"869 Main St, Boston, MA 02215"
263562,Biosan 275 mg 6 Tablet,1,100000.0,10/20/20 19:28,"211 Johnson St, Atlanta, GA 30301"
263563,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,10/01/20 11:22,"732 North St, Seattle, WA 98101"
263564,CAPTOPRIL IF 25MG TAB,1,2197.0,10/20/20 08:08,"2 Cherry St, Dallas, TX 75001"
263565,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,10/14/20 10:12,"520 Spruce St, Los Angeles, CA 90001"
263566,VEGETA HERBAL ANGGUR SACH,1,17158.0,10/09/20 17:47,"63 12th St, Seattle, WA 98101"
263567,ASAM MEFENAMAT BERNO 500MG,1,423.0,10/15/20 08:31,"594 Maple St, Austin, TX 73301"
263568,CEFADROXIL BERNO 500MG CAP,1,1707.0,10/13/20 07:10,"168 Church St, Dallas, TX 75001"
263569,CERETON CAP,1,6744.0,10/26/20 17:28,"23 Cherry St, Seattle, WA 98101"
263570,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,10/24/20 14:43,"543 Lincoln St, New York City, NY 10001"
263571,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,10/09/20 13:21,"429 Hickory St, Dallas, TX 75001"
263572,CERETON CAP,1,6744.0,10/23/20 11:09,"411 11th St, Atlanta, GA 30301"
263573,DIABEMED CAP 24S,1,39972.0,10/08/20 16:42,"909 Chestnut St, Dallas, TX 75001"
263574,IBUPROFEN 400MG TAB,1,594.0,10/23/20 21:05,"689 Walnut St, San Francisco, CA 94016"
263575,TENACE 10MG,1,5971.0,10/01/20 16:13,"467 13th St, San Francisco, CA 94016"
263576,CEFIXIME DEXA 100MG CAP 50S,1,149.99,10/09/20 19:23,"594 Adams St, San Francisco, CA 94016"
263577,THERMOLYTE MAXIMUS 30S,1,54384.0,10/20/20 22:05,"230 Dogwood St, Los Angeles, CA 90001"
263578,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,10/09/20 23:14,"401 Main St, Los Angeles, CA 90001"
263579,PONSTAN 500MG TAB,1,3356.0,10/31/20 10:49,"426 Pine St, Los Angeles, CA 90001"
263580,CERETON CAP,1,6744.0,10/03/20 12:55,"771 South St, Los Angeles, CA 90001"
263581,USB-C Charging Cable,1,11.95,10/24/20 23:32,"332 Dogwood St, San Francisco, CA 94016"
263582,IBUPROFEN 400MG TAB,1,594.0,10/13/20 17:41,"142 Washington St, Dallas, TX 75001"
263583,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,10/22/20 09:34,"971 Walnut St, San Francisco, CA 94016"
263584,Ranitidine 150 mg 10 Tablet,1,1800.0,10/05/20 21:45,"675 Park St, San Francisco, CA 94016"
263585,Tremenza Sirup 60 ml,1,22000.0,10/24/20 13:29,"486 Hickory St, Boston, MA 02215"
263586,USB-C Charging Cable,1,11.95,10/23/20 09:51,"287 Maple St, New York City, NY 10001"
263586,Paracetamol 500 mg 10 Kaplet,1,1500.0,10/23/20 09:51,"287 Maple St, New York City, NY 10001"
263587,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,10/23/20 16:04,"704 Forest St, Dallas, TX 75001"
263588,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,10/03/20 15:08,"774 Center St, San Francisco, CA 94016"
263589,ASAM MEFENAMAT BERNO 500MG,1,423.0,10/21/20 16:21,"723 Cedar St, Seattle, WA 98101"
263590,USB-C Charging Cable,1,11.95,10/19/20 17:34,"994 5th St, Los Angeles, CA 90001"
263591,Biosan 275 mg 6 Tablet,1,100000.0,10/19/20 18:08,"81 Washington St, Los Angeles, CA 90001"
263592,USB-C Charging Cable,1,11.95,10/27/20 17:59,"170 Elm St, New York City, NY 10001"
263593,THERMOLYTE MAXIMUS 30S,1,54384.0,10/27/20 11:43,"211 Willow St, Dallas, TX 75001"
263594,PONSTAN 500MG TAB,1,3356.0,10/31/20 12:00,"172 9th St, New York City, NY 10001"
263595,Paracetamol 500 mg 10 Kaplet,1,1500.0,10/20/20 14:45,"448 West St, San Francisco, CA 94016"
263596,USB-C Charging Cable,1,11.95,10/02/20 15:34,"941 Sunset St, Seattle, WA 98101"
263597,USB-C Charging Cable,1,11.95,10/03/20 09:16,"793 Center St, Los Angeles, CA 90001"
263598,ASAM MEFENAMAT BERNO 500MG,1,423.0,10/06/20 10:21,"36 Walnut St, San Francisco, CA 94016"
263599,CAPTOPRIL IF 25MG TAB,1,2197.0,10/19/20 17:52,"640 Wilson St, San Francisco, CA 94016"
263600,ASAM MEFENAMAT BERNO 500MG,1,423.0,10/03/20 16:44,"31 South St, Boston, MA 02215"
263601,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,10/11/20 16:23,"161 Ridge St, San Francisco, CA 94016"
263602,CERETON CAP,1,6744.0,10/10/20 08:44,"282 Jackson St, Los Angeles, CA 90001"
263603,Nitrokaf Retard 2.5 mg 10 Kapsul,1,28000.0,10/27/20 17:43,"626 Chestnut St, San Francisco, CA 94016"
263604,IBUPROFEN 400MG TAB,1,594.0,10/09/20 21:57,"752 Johnson St, Los Angeles, CA 90001"
263605,PROPANOLOL DEXA 10MG TAB,1,117.0,10/15/20 19:46,"570 Madison St, Portland, OR 97035"
263606,Ranitidine 150 mg 10 Tablet,1,1800.0,10/23/20 19:25,"294 Lincoln St, Boston, MA 02215"
263607,KOMIX G-FORM JERUK NIPIS 30S,1,1400.0,10/23/20 18:06,"643 Jackson St, San Francisco, CA 94016"
263608,ORALIT KIMIA FARMA 200 MG SACHET,1,1000.0,10/01/20 09:48,"848 West St, New York City, NY 10001"
