Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
246965,Ranitidine 150 mg 10 Tablet,1,1800.0,09/08/20 09:48,"741 8th St, New York City, NY 10001"
246966,CEFADROXIL BERNO 500MG CAP,1,1707.0,09/04/20 16:52,"578 13th St, Boston, MA 02215"
246967,IBUPROFEN 400MG TAB,1,594.0,09/20/20 21:46,"359 Dogwood St, Austin, TX 73301"
246968,LISINOPRIL 10MG TAB NOVELL,1,780.0,09/02/20 20:45,"186 Lincoln St, Portland, OR 97035"
246969,PONSTAN 500MG TAB,1,3356.0,09/02/20 17:59,"861 Lake St, Los Angeles, CA 90001"
246970,CEFIXIME DEXA 100MG CAP 50S,1,149.99,09/18/20 17:44,"238 2nd St, Los Angeles, CA 90001"
246971,CERETON CAP,1,6744.0,09/02/20 12:29,"226 8th St, Boston, MA 02215"
246972,USB-C Charging Cable,1,11.95,09/27/20 22:08,"284 Madison St, San Francisco, CA 94016"
246973,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,09/28/20 11:38,"365 2nd St, Boston, MA 02215"
246974,USB-C Charging Cable,1,11.95,09/16/20 11:06,"510 North St, Portland, OR 97035"
246975,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,09/20/20 11:39,"193 Lakeview St, New York City, NY 10001"
246976,PROPYLTHIOURACIL DEXA 100MG TAB,1,649.0,09/26/20 16:44,"906 7th St, Los Angeles, CA 90001"
246977,CEFADROXIL BERNO 500MG CAP,1,1707.0,09/02/20 13:58,"878 9th St, Seattle, WA 98101"
246978,Metformin 500 mg 10 Tablet,1,2000.0,09/01/20 11:47,"526 Church St, Dallas, TX 75001"
246979,USB-C Charging Cable,1,11.95,09/14/20 11:46,"530 Madison St, Boston, MA 02215"
246979,ASAM MEFENAMAT BERNO 500MG,1,423.0,09/14/20 11:46,"530 Madison St, Boston, MA 02215"
246980,TENACE 10MG,1,5971.0,09/13/20 19:11,"427 Lakeview St, Los Angeles, CA 90001"
246981,CAPTOPRIL IF 25MG TAB,1,2197.0,09/11/20 20:40,"194 5th St, Boston, MA 02215"
246982,SIMVASTATIN DEXA 10MG TAB,1,1151.0,09/19/20 16:41,"422 Madison St, Austin, TX 73301"
246983,CEFIXIME DEXA 100MG CAP 50S,1,149.99,09/27/20 11:06,"177 Walnut St, Los Angeles, CA 90001"
246984,Amoxicillin 500 Mg Kapsul Hexpharm,1,500.0,09/28/20 07:54,"489 12th St, Dallas, TX 75001"
246985,ZINE 10MG FC TAB 30S,1,5710.0,09/24/20 15:09,"473 9th St, Seattle, WA 98101"
246986,TENACE 10MG,1,5971.0,09/23/20 10:49,"490 11th St, San Francisco, CA 94016"
246987,COTRIMOXAZOLE BERNO 960MG TAB 100S,1,782.0,09/10/20 08:53,"728 8th St, Seattle, WA 98101"
246988,USB-C Charging Cable,1,11.95,09/06/20 09:51,"841 11th St, Seattle, WA 98101"
246989,ITRACONAZOLE 100MG TAB BERNO,1,6164.0,09/14/20 19:06,"197 West St, Dallas, TX 75001"
246990,ZINE 10MG FC TAB 30S,1,5710.0,09/28/20 11:43,"859 Walnut St, Seattle, WA 98101"
